price,bed,bath,size-sqft,address
"$662,562",3,2.5,"1,734","4103 S Limecrest Paseo # 77, Ontario, CA 91761"
"$918,988",5,4,"2,409","2596 E Wren Way, Ontario, CA 91761"
"$698,000",3,1,"1,366","1818 Placer Ct, Ontario, CA 91764"
"$637,650",3,2.5,"1,681","2710 E Bottas Privado, Ontario, CA 91762"
"$665,000",3,2,"1,238","740 E Hawthorne St, Ontario, CA 91764"
"$863,990",4,2.5,"2,609","2635 Dolomite St, Ontario, CA 91761"
"$604,509",3,2.5,"1,338","4211 E Carmel Privado, Ontario, CA 91761"
"$560,000",2,1,795,"767 E Emporia St, Ontario, CA 91761"
"$990,000",4,3,"2,681","4714 S Garden Gate Ln, Ontario, CA 91762"
"$818,990",4,3,"2,380","2634 E Towhee St, Ontario, CA 91761"
"$715,000",4,2,"1,408","933 W El Morado Ct, Ontario, CA 91762"
"$499,990",2,1.5,"1,163","1981 E Yale St Unit 46, Ontario, CA 91764"
"$599,900",3,1.5,"1,050","1316 W D St, Ontario, CA 91762"
"$459,718",1,1.5,993,"4102 S Limecrest Paseo # 1, Ontario, CA 91761"
"$579,999",3,2.5,"1,701","3905 S Oasis Paseo Unit 53, Ontario, CA 91761"
"$530,025",2,2,956,"4199 E Circle Paseo Unit 304, Ontario, CA 91764"
"$799,990",4,3,"1,922","3712 S Nexa Paseo, Ontario, CA 91761"
"$611,275",3,2,"1,557","4199 E Circle Paseo Unit 301, Ontario, CA 91764"
"$621,615",2,2,"1,393","4149 E Circle Paseo Unit 101, Ontario, CA 91764"
"$590,764",3,1.5,"1,467","3239 S Coral Paseo, Ontario, CA 91761"
"$139,999",2,2,"2,040","1456 E Philadelphia St Spc 287, Ontario, CA 91761"
